break,msw,surf_forecast
tynemouth,https://magicseaweed.com/Tynemouth-Longsands-Surf-Report/26/,https://www.surf-forecast.com/breaks/Tynemouth-Longsands/forecasts/latest
towan,https://magicseaweed.com/Newquay-Towan-Surf-Report/6025/,https://www.surf-forecast.com/breaks/Towan/forecasts/latest
